MSSV,Họ tên,Ngày sinh,Giới tính,Khoa,Khóa,Chương trình,Địa chỉ tạm trú - Đường,Địa chỉ tạm trú - Phường/Xã,Địa chỉ tạm trú - Quận/Huyện,Địa chỉ tạm trú - Tỉnh/Thành phố,Địa chỉ tạm trú - Quốc gia,Địa chỉ thường trú - Đường,Địa chỉ thường trú - Phường/Xã,Địa chỉ thường trú - Quận/Huyện,Địa chỉ thường trú - Tỉnh/Thành phố,Địa chỉ thường trú - Quốc gia,Địa chỉ nhận thư - Đường,Địa chỉ nhận thư - Phường/Xã,Địa chỉ nhận thư - Quận/Huyện,Địa chỉ nhận thư - Tỉnh/Thành phố,Địa chỉ nhận thư - Quốc gia,Email,SĐT,Tình trạng,Quốc tịch,Số CMND,Ngày cấp CMND,Nơi cấp CMND,Ngày hết hạn CMND,Số CCCD,Ngày cấp CCCD,Nơi cấp CCCD,Ngày hết hạn CCCD,Chip,Số hộ chiếu,Ngày cấp hộ chiếu,Nơi cấp hộ chiếu,Ngày hết hạn hộ chiếu,Quốc gia cấp,Ghi chú
20210011,Ngô Văn L,2001-08-08,Nam,ENCO,2021,CLC,34 Nguyễn Văn Trỗi,Phường 8,Phú Nhuận,TP.HCM,Việt Nam,56 Hoàng Văn Thụ,Phường 9,Phú Nhuận,TP.HCM,Việt Nam,34 Nguyễn Văn Trỗi,Phường 8,Phú Nhuận,TP.HCM,Việt Nam,ngovanl@student.university.edu.vn,0912345688,Đang học,Việt Nam,321987654,2020-05-22,CA TP.HCM,2030-05-22,001200654321,2021-10-15,CA TP.HCM,2031-10-15,Có,UV2345678,2021-08-25,Cục QLXNC,2031-08-25,Việt Nam,
20210012,Trương Thị M,2000-11-15,Nữ,LAW,2020,TN,12 Phạm Ngọc Thạch,Phường 6,Quận 3,TP.HCM,Việt Nam,34 Nguyễn Thị Diệu,Phường 4,Quận 3,TP.HCM,Việt Nam,12 Phạm Ngọc Thạch,Phường 6,Quận 3,TP.HCM,Việt Nam,truongthim@student.university.edu.vn,0912345689,Tạm dừng học,Việt Nam,654321987,2019-03-10,CA Cần Thơ,2029-03-10,001200987123,2020-12-20,CA Cần Thơ,2030-12-20,Không,WX3456789,2020-10-05,Cục QLXNC,2030-10-05,Việt Nam,
20210013,Huỳnh Văn N,2002-02-28,Nam,FRA,2022,CQ,56 Trần Quang Khải,Phường Tân Định,Quận 1,TP.HCM,Việt Nam,78 Đinh Tiên Hoàng,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,56 Trần Quang Khải,Phường Tân Định,Quận 1,TP.HCM,Việt Nam,huynhvann@student.university.edu.vn,0912345690,Đang học,Việt Nam,987123654,2021-06-14,CA TP.HCM,2031-06-14,001200321456,2022-03-30,CA TP.HCM,2032-03-30,Có,YZ4567890,2022-01-20,Cục QLXNC,2032-01-20,Việt Nam,
20210014,Phan Thị O,2001-05-20,Nữ,JPN,2021,TT,23 Nguyễn Thượng Hiền,Phường 5,Quận 3,TP.HCM,Việt Nam,45 Võ Thị Sáu,Phường 7,Quận 3,TP.HCM,Việt Nam,23 Nguyễn Thượng Hiền,Phường 5,Quận 3,TP.HCM,Việt Nam,phanthio@student.university.edu.vn,0912345691,Bảo lưu,Việt Nam,123456987,2020-04-05,CA Hà Nội,2030-04-05,001200789654,2021-08-12,CA Hà Nội,2031-08-12,Không,AB5678901,2021-05-15,Cục QLXNC,2031-05-15,Việt Nam,
20210015,Vũ Văn P,2000-10-10,Nam,ENCO,2020,CLC,67 Lý Tự Trọng,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,89 Nam Kỳ Khởi Nghĩa,Phường Nguyễn Thái Bình,Quận 1,TP.HCM,Việt Nam,67 Lý Tự Trọng,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,vuvanp@student.university.edu.vn,0912345692,Đình chỉ,Việt Nam,456987321,2019-09-18,CA Đà Nẵng,2029-09-18,001200123456,2020-10-22,CA Đà Nẵng,2030-10-22,Có,CD6789012,2020-07-25,Cục QLXNC,2030-07-25,Việt Nam,
20210016,Đỗ Thị Q,2002-03-15,Nữ,LAW,2022,TN,34 Trần Nhật Duật,Phường Tân Định,Quận 1,TP.HCM,Việt Nam,56 Nguyễn Văn Giai,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,34 Trần Nhật Duật,Phường Tân Định,Quận 1,TP.HCM,Việt Nam,dothiq@student.university.edu.vn,0912345693,Đang học,Việt Nam,789654321,2021-07-22,CA TP.HCM,2031-07-22,001200456123,2022-02-10,CA TP.HCM,2032-02-10,Không,EF7890123,2021-12-15,Cục QLXNC,2031-12-15,Việt Nam,
20210017,Lâm Văn R,2001-12-25,Nam,FRA,2021,CQ,12 Hồ Tùng Mậu,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,34 Nguyễn Huệ,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,12 Hồ Tùng Mậu,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,lamvanr@student.university.edu.vn,0912345694,Đã thôi học,Việt Nam,321789654,2020-10-30,CA Hải Phòng,2030-10-30,001200654789,2021-11-05,CA Hải Phòng,2031-11-05,Có,GH8901234,2021-09-10,Cục QLXNC,2031-09-10,Việt Nam,
20210018,Châu Thị S,2000-07-08,Nữ,JPN,2020,TT,45 Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,67 Đề Thám,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,45 Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,chauthis@student.university.edu.vn,0912345695,Tốt nghiệp,Việt Nam,654123987,2019-08-12,CA TP.HCM,2029-08-12,001200987456,2020-09-18,CA TP.HCM,2030-09-18,Không,IJ9012345,2020-04-20,Cục QLXNC,2030-04-20,Việt Nam,
20210019,Nguyễn Văn T,2002-04-05,Nam,ENCO,2022,CLC,78 Nguyễn Thái Học,Phường 7,Quận 1,TP.HCM,Việt Nam,12 Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,78 Nguyễn Thái Học,Phường 7,Quận 1,TP.HCM,Việt Nam,nguyenvant@student.university.edu.vn,0912345696,Đang học,Việt Nam,987456123,2021-05-20,CA Đà Nẵng,2031-05-20,001200123987,2022-01-15,CA Đà Nẵng,2032-01-15,Có,KL0123456,2021-11-30,Cục QLXNC,2031-11-30,Việt Nam,
20210020,Hồ Thị U,2001-01-30,Nữ,LAW,2021,TN,23 Lê Thị Riêng,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,45 Phạm Hồng Thái,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,23 Lê Thị Riêng,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,hothiu@student.university.edu.vn,0912345697,Bảo lưu,Việt Nam,123654987,2020-12-05,CA TP.HCM,2030-12-05,001200789321,2021-07-22,CA TP.HCM,2031-07-22,Không,MN1234567,2021-03-15,Cục QLXNC,2031-03-15,Việt Nam,
20210021,Trần Văn V,2000-09-18,Nam,FRA,2020,CQ,56 Trương Định,Phường 6,Quận 3,TP.HCM,Việt Nam,78 Lê Quý Đôn,Phường 7,Quận 3,TP.HCM,Việt Nam,56 Trương Định,Phường 6,Quận 3,TP.HCM,Việt Nam,tranvanv@student.university.edu.vn,0912345698,Tạm dừng học,Việt Nam,456321789,2019-11-22,CA Hà Nội,2029-11-22,001200123654,2020-12-10,CA Hà Nội,2030-12-10,Có,OP2345678,2020-08-05,Cục QLXNC,2030-08-05,Việt Nam,
20210022,Lê Thị W,2002-06-22,Nữ,JPN,2022,TT,34 Đồng Khởi,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,56 Lê Duẩn,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,34 Đồng Khởi,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,lethiw@student.university.edu.vn,0912345699,Đang học,Việt Nam,789321654,2021-04-15,CA Cần Thơ,2031-04-15,001200456987,2022-03-05,CA Cần Thơ,2032-03-05,Không,QR3456789,2021-10-20,Cục QLXNC,2031-10-20,Việt Nam,
20210023,Phạm Văn X,2001-03-12,Nam,ENCO,2021,CLC,12 Nguyễn Cảnh Chân,Phường Nguyễn Cư Trinh,Quận 1,TP.HCM,Việt Nam,34 Nguyễn Văn Cừ,Phường Nguyễn Cư Trinh,Quận 1,TP.HCM,Việt Nam,12 Nguyễn Cảnh Chân,Phường Nguyễn Cư Trinh,Quận 1,TP.HCM,Việt Nam,phamvanx@student.university.edu.vn,0912345700,Đang học,Việt Nam,321456987,2020-09-28,CA TP.HCM,2030-09-28,001200987321,2021-08-15,CA TP.HCM,2031-08-15,Có,ST4567890,2021-05-10,Cục QLXNC,2031-05-10,Việt Nam,
20210024,Vương Thị Y,2000-12-08,Nữ,LAW,2020,TN,45 Hồ Hảo Hớn,Phường Cô Giang,Quận 1,TP.HCM,Việt Nam,67 Đỗ Quang Đẩu,Phường Cô Giang,Quận 1,TP.HCM,Việt Nam,45 Hồ Hảo Hớn,Phường Cô Giang,Quận 1,TP.HCM,Việt Nam,vuongthiy@student.university.edu.vn,0912345701,Đã thôi học,Việt Nam,654789321,2019-10-15,CA Đà Nẵng,2029-10-15,001200321789,2020-11-20,CA Đà Nẵng,2030-11-20,Không,UV5678901,2020-06-25,Cục QLXNC,2030-06-25,Việt Nam,
20210025,Nguyễn Văn Z,2002-05-25,Nam,FRA,2022,CQ,78 Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,12 Bùi Thị Xuân,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,78 Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,nguyenvanz@student.university.edu.vn,0912345702,Đang học,Việt Nam,987654123,2021-08-10,CA Hải Phòng,2031-08-10,001200123456,2022-02-15,CA Hải Phòng,2032-02-15,Có,WX6789012,2021-12-30,Cục QLXNC,2031-12-30,Việt Nam,
20210026,Trịnh Thị AA,2001-02-14,Nữ,JPN,2021,TT,23 Phạm Ngũ Lão,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,45 Nguyễn Thái Học,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,23 Phạm Ngũ Lão,Phường Phạm Ngũ Lão,Quận 1,TP.HCM,Việt Nam,trinhthiaa@student.university.edu.vn,0912345703,Tốt nghiệp,Việt Nam,123987456,2020-07-05,CA TP.HCM,2030-07-05,001200456789,2021-09-12,CA TP.HCM,2031-09-12,Không,YZ7890123,2021-04-15,Cục QLXNC,2031-04-15,Việt Nam,
20210027,Đào Văn BB,2000-11-20,Nam,ENCO,2020,CLC,56 Lê Lợi,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,78 Hàm Nghi,Phường Nguyễn Thái Bình,Quận 1,TP.HCM,Việt Nam,56 Lê Lợi,Phường Bến Thành,Quận 1,TP.HCM,Việt Nam,daovanbb@student.university.edu.vn,0912345704,Đình chỉ,Việt Nam,456123789,2019-12-18,CA Hà Nội,2029-12-18,001200789123,2020-10-25,CA Hà Nội,2030-10-25,Có,AB8901234,2020-07-30,Cục QLXNC,2030-07-30,Việt Nam,
20210028,Bành Thị CC,2002-04-30,Nữ,LAW,2022,TN,34 Nguyễn Văn Chiêm,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,56 Trần Khánh Dư,Phường Tân Định,Quận 1,TP.HCM,Việt Nam,34 Nguyễn Văn Chiêm,Phường Đa Kao,Quận 1,TP.HCM,Việt Nam,banhthicc@student.university.edu.vn,0912345705,Đang học,Việt Nam,789321456,2021-09-15,CA Cần Thơ,2031-09-15,001200123987,2022-01-20,CA Cần Thơ,2032-01-20,Không,CD9012345,2021-06-10,Cục QLXNC,2031-06-10,Việt Nam,
20210029,Mạc Văn DD,2001-01-15,Nam,FRA,2021,CQ,12 Lê Thánh Tôn,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,34 Nguyễn Huệ,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,12 Lê Thánh Tôn,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,macvandd@student.university.edu.vn,0912345706,Bảo lưu,Việt Nam,321654789,2020-10-22,CA Đà Nẵng,2030-10-22,001200456321,2021-07-15,CA Đà Nẵng,2031-07-15,Có,EF0123456,2021-03-25,Cục QLXNC,2031-03-25,Việt Nam,
20210030,Khúc Thị EE,2000-08-05,Nữ,JPN,2020,TT,45 Đồng Khởi,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,67 Lê Lợi,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,45 Đồng Khởi,Phường Bến Nghé,Quận 1,TP.HCM,Việt Nam,khuchthiee@student.university.edu.vn,0912345707,Đang học,Việt Nam,654987123,2019-11-30,CA TP.HCM,2029-11-30,001200987654,2020-12-15,CA TP.HCM,2030-12-15,Không,GH1234567,2020-09-05,Cục QLXNC,2030-09-05,Việt Nam,
